,id,followers,genres,name,popularity
728414,7043FMraNsB8MtYafDyf03,195.0,[],Sola,9
33100,59xol4VJ5T58RiIgiMFKR8,22.0,[],Goudo J,41
448397,4fYw9VRabxo1djlsiak74m,4.0,[],ArsoNick Scum,0
973667,0rG3vA9FI2bwxaiy7obZR6,8.0,[],ENSEMBLE OPERA DIVERSA,1
8008,4ES2X0QFgm9E5PWx14j6er,75.0,[],Fevier Daza,0
316268,4wWmX1LNrr3RaGI2QbjiCp,150.0,[],Billions of Comrades,0
572578,2ESvglqbkUzxRiTB0nJH00,268.0,[],Keidas,12
417895,7cS2s8qrONt3HXBvQjvhxT,11.0,[],Pasquale E Nino,1
450022,3PNfXIL1NxVE7IVlihAdVE,116.0,[],Gentleland,0
481622,4tYfEACQGDBtTEd3iavpUu,22.0,[],DJ Dopey,0
438569,7gtYD2Q16YPN2zrckuqD9K,11.0,[],Jadon Webster,0
1054909,2G3PV2M6Mpb2FjRVNio1tf,948.0,['musica catalana'],Gerard Aledo,27
727849,1Hq0IVycdqopBAEMYaUl3n,0.0,[],Chilli Hi Fly,0
150968,0MNLvPPXLsgEoIfyNZVbCz,773.0,[],Jürgen Fritsche,45
117835,04jGwYmR2DSNyuH8ZZq4HV,0.0,[],Jake,0
655855,5j1RgNCoDbZ2lXBScthguF,2.0,[],Surfers For Satan,0
705241,1SUJINfOxBYTjMWIF7JGER,1810.0,['indie anthem-folk'],Corey Fox-Fardell,26
972090,5kTaIzz0OcKlNAkCTP6RHW,0.0,[],Run-A,0
279479,1PmVyfIR9KtCxbHWuga8E5,217833.0,"['glitch hop', 'wonky']",Lorn,58
556815,4eUjQytDVkU4qcVDw5QNOA,9.0,[],99 Burning,0
983500,6eOWzTWjeon4HanoqRkEwS,8.0,[],Lady Flo,0
76381,01AYbK7xRiHxA23eN3oHDb,0.0,[],Jay Detroit,0
